age_of_driver,safety_rating,annual_income,high_education,address_change,zip_code,past_num_of_claims,witness_present,liab_prct,police_report,age_of_vehicle,vehicle_price,total_claim,injury_claim,policy_deductible,annual_premium,days_open,form_defects,claim_year,claim_month,claim_day,claim_dayofyear,weekend_claim,claim_vehicle_ratio,injury_claim_ratio,claim_premium_ratio,vehicle_old,gender_F,gender_M,marital_status_*,marital_status_0,marital_status_1,property_status_Own,property_status_Rent,claim_day_of_week_*,claim_day_of_week_Friday,claim_day_of_week_Monday,claim_day_of_week_Saturday,claim_day_of_week_Sunday,claim_day_of_week_Thursday,claim_day_of_week_Tuesday,claim_day_of_week_Wednesday,accident_site_Highway,accident_site_Local,accident_site_Parking Lot,channel_Broker,channel_Online,channel_Phone,vehicle_category_Compact,vehicle_category_Large,vehicle_category_Medium,vehicle_color_black,vehicle_color_blue,vehicle_color_gray,vehicle_color_other,vehicle_color_red,vehicle_color_silver,vehicle_color_white,fraud_reported
70.0,58.0,67980.8,1.0,0.0,20158.0,0.0,0.0,50.0,0.0,5.0,29214.5357,19172.68928,2417.922997,500.0,1451.62,7.454180856,4.0,2024.0,11.0,6.0,311.0,0.0,0.6562722569641933,0.12611287658650255,13.207788043702898,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
28.0,49.0,53307.2,1.0,1.0,15057.0,1.0,0.0,50.0,1.0,5.0,23876.17436,32074.03469,3456.679158,500.0,1737.66,10.66792937,8.0,2023.0,6.0,24.0,175.0,1.0,1.3433489890965933,0.10777188437342804,18.458176334841106,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
38.0,78.0,58198.4,0.0,0.0,20140.0,0.0,0.0,50.0,1.0,3.0,17991.21351,12246.51763,7204.667355,500.0,538.17,10.04835868,5.0,2024.0,2.0,26.0,57.0,0.0,0.6806943635676969,0.5883033506072697,22.75585341063233,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
42.0,92.0,39814.4,1.0,1.0,50009.0,0.0,0.0,72.0,1.0,4.0,12006.5627,12427.00182,3388.568025,2000.0,1273.7,9.966159716,4.0,2023.0,9.0,3.0,246.0,1.0,1.0350174425857952,0.2726778408888975,9.756616016330375,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
23.0,82.0,20164.8,1.0,0.0,15015.0,0.0,0.0,80.0,1.0,6.0,12224.5503,24375.06253,5335.459014,500.0,1848.81,9.411242095,4.0,2024.0,3.0,21.0,81.0,0.0,1.9939434933651505,0.21889006468940533,13.184190116885997,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
55.0,83.0,14104.0,0.0,1.0,80107.0,0.0,0.0,69.0,0.0,4.0,12845.13183,30130.72245,6011.22711,500.0,1362.87,8.528898183,3.0,2024.0,8.0,31.0,244.0,1.0,2.3456919593171666,0.19950491130689765,22.108287987849174,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
44.0,65.0,160546.0,1.0,1.0,85001.0,0.0,0.0,86.0,1.0,4.0,76566.41329,30982.76488,10852.36645,500.0,1239.22,8.592964817,3.0,2024.0,9.0,1.0,245.0,1.0,0.40465216468545906,0.3502710778728925,25.00182766578977,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
37.0,68.0,7786.0,0.0,1.0,80022.0,0.0,0.0,51.0,1.0,5.0,34708.88292,23599.39624,5904.032433,500.0,1105.49,8.546369217,9.0,2024.0,5.0,26.0,147.0,1.0,0.6799238193402509,0.2501772661028044,21.34745338266289,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40.0,77.0,99026.0,1.0,1.0,50047.0,0.0,0.0,50.0,1.0,5.0,19450.25858,12600.65557,5891.41743,1000.0,1425.54,9.551207744,2.0,2023.0,8.0,6.0,218.0,1.0,0.6478400026494661,0.4675484856539095,8.839215714746693,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
35.0,63.0,56881.6,1.0,1.0,80003.0,0.0,0.0,93.0,1.0,3.0,22227.21526,18229.27521,5429.714276,1000.0,1038.09,9.545037903,3.0,2023.0,9.0,27.0,270.0,0.0,0.820133111447628,0.297856838160051,17.560399589630958,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
54.0,79.0,63856.0,1.0,1.0,80005.0,0.0,0.0,32.0,1.0,10.0,34694.52214,12470.68379,8093.500512,1000.0,1489.24,8.645313687,2.0,2024.0,5.0,27.0,148.0,0.0,0.35944244280633286,0.6490021436106032,8.373857665654965,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
27.0,36.0,32728.0,1.0,0.0,50023.0,2.0,0.0,71.0,1.0,5.0,7879.238294,41443.38211,6794.780109,2000.0,769.95,9.057925582,2.0,2024.0,12.0,28.0,363.0,1.0,5.259820881614778,0.16395332048347636,53.826069368140786,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
42.0,65.0,179808.0,0.0,1.0,85072.0,3.0,0.0,93.0,1.0,6.0,34221.32516,21670.54025,4019.553749,2000.0,1514.72,10.20500492,5.0,2023.0,10.0,5.0,278.0,0.0,0.6332466714447944,0.18548470424035693,14.306631093535437,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
62.0,90.0,66056.0,1.0,1.0,50021.0,0.0,0.0,76.0,1.0,4.0,16521.38304,24548.54157,5001.112247,500.0,1612.43,9.534852522,2.0,2024.0,12.0,22.0,357.0,1.0,1.4858648038463491,0.20372339565425351,15.22456266008447,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
34.0,82.0,16429.0,0.0,1.0,20106.0,0.0,1.0,0.0,1.0,5.0,20504.51437,44689.78043,3431.849274,2000.0,1136.83,8.164786494,4.0,2023.0,3.0,20.0,79.0,0.0,2.1795093326075197,0.07679270833240029,39.31087359587625,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
31.0,94.0,84939.2,1.0,1.0,85077.0,1.0,0.0,94.0,1.0,4.0,21003.68362,22015.10594,5270.906542,2000.0,1322.78,8.63599319,3.0,2023.0,3.0,9.0,68.0,0.0,1.0481545208116214,0.2394222656191315,16.643059269115046,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
44.0,73.0,60563.2,1.0,1.0,50043.0,1.0,1.0,81.0,1.0,1.0,15002.20433,15462.54245,3812.903368,1000.0,1483.25,8.539403447,2.0,2023.0,12.0,23.0,357.0,1.0,1.0306846987198715,0.24658967827118233,10.424771582673184,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
47.0,44.0,61587.2,1.0,0.0,50002.0,0.0,0.0,57.0,0.0,4.0,14516.1342,12701.78418,4627.458464,500.0,1463.82,7.48828902,7.0,2024.0,7.0,30.0,212.0,0.0,0.8750114875625771,0.3643156267200881,8.677148952740092,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
62.0,75.0,66012.8,0.0,1.0,20137.0,0.0,0.0,28.0,1.0,4.0,18719.35593,34051.34729,3011.284525,500.0,1497.35,9.101195924,5.0,2023.0,3.0,1.0,60.0,0.0,1.8190448120829121,0.08843363815693532,22.741074090893914,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
32.0,93.0,55452.8,1.0,0.0,80010.0,0.0,0.0,100.0,0.0,8.0,15699.24609,9448.857968,4130.137132,500.0,1495.1,7.8403765,3.0,2023.0,1.0,23.0,23.0,0.0,0.6018669886332102,0.43710437240006567,6.3198835984215105,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
46.0,45.0,11246.0,0.0,1.0,15025.0,1.0,1.0,34.0,1.0,2.0,25602.20531,30860.11818,4499.059204,2000.0,1338.5,9.64053346,3.0,2023.0,9.0,22.0,265.0,0.0,1.2053695299422627,0.145788787254735,23.055747612999628,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
57.0,65.0,14693.0,1.0,0.0,85007.0,1.0,0.0,64.0,1.0,1.0,9732.691388,26752.07125,5461.151361,1000.0,1074.07,9.812436192,3.0,2024.0,8.0,9.0,222.0,0.0,2.7486817554889478,0.2041393845719516,24.907195294533878,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
56.0,83.0,44387.0,1.0,1.0,20148.0,0.0,1.0,27.0,0.0,3.0,10883.7118,11807.93998,4511.907191,2000.0,1103.58,10.5576621,6.0,2023.0,10.0,19.0,292.0,0.0,1.084918472391009,0.3821079035498282,10.699668333967633,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
51.0,65.0,62905.6,0.0,1.0,20122.0,0.0,1.0,27.0,0.0,4.0,8691.36746,20342.4402,5009.360744,500.0,964.79,8.069645493,6.0,2023.0,7.0,17.0,198.0,0.0,2.3405339025902836,0.246251712909054,21.08483732211155,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45.0,57.0,60889.6,0.0,1.0,85006.0,1.0,0.0,50.0,1.0,3.0,41194.09871,16502.57797,2314.389231,1000.0,1439.34,8.668064407,5.0,2023.0,12.0,31.0,365.0,1.0,0.40060538977137383,0.14024410217647953,11.465378555449025,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
28.0,83.0,53315.2,0.0,1.0,20117.0,0.0,1.0,97.0,1.0,3.0,11213.12223,26346.03809,4432.226653,1000.0,1198.15,8.929089579,2.0,2024.0,9.0,28.0,272.0,1.0,2.3495720058694123,0.16823123984939173,21.98893134415557,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
55.0,93.0,64113.6,1.0,1.0,80002.0,3.0,0.0,51.0,1.0,3.0,32829.02668,5747.298004,1882.484537,500.0,1398.51,8.835088933,6.0,2024.0,10.0,17.0,291.0,0.0,0.17506757236580978,0.32754253141038275,4.109586634346555,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
51.0,87.0,162891.2,1.0,0.0,85035.0,2.0,0.0,99.0,1.0,4.0,31615.03599,28699.249,7990.167818,500.0,1355.08,8.550854393,4.0,2024.0,10.0,14.0,288.0,0.0,0.9077721438962689,0.2784103450930023,21.179007143489684,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
41.0,66.0,29408.0,1.0,0.0,20163.0,0.0,0.0,99.0,1.0,7.0,13942.05244,41405.79596,3996.453104,500.0,1158.03,9.701092284,5.0,2023.0,2.0,24.0,55.0,0.0,2.9698493918446345,0.0965191710808015,35.75537417856187,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
50.0,68.0,62593.6,1.0,1.0,15053.0,0.0,1.0,3.0,1.0,7.0,17149.64126,11575.14651,3043.078453,1000.0,1372.27,8.95681254,4.0,2024.0,6.0,9.0,161.0,1.0,0.6749497750135445,0.26289761864966665,8.43503575098195,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
47.0,79.0,61592.0,1.0,1.0,80002.0,0.0,0.0,1.0,1.0,4.0,28423.24271,42880.44492,6387.075386,1000.0,1275.39,10.38860723,8.0,2024.0,7.0,29.0,211.0,0.0,1.5086401420663238,0.1489507722673135,33.621437301531294,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
49.0,79.0,82292.8,0.0,1.0,85028.0,1.0,1.0,24.0,1.0,7.0,11488.23238,19754.24336,6706.715266,500.0,1344.36,7.47937187,3.0,2024.0,10.0,30.0,304.0,0.0,1.719519827470621,0.3395075753486111,14.694161801898302,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
33.0,64.0,95934.4,1.0,0.0,20107.0,0.0,0.0,3.0,0.0,2.0,12267.68033,13732.00306,1971.468572,500.0,1203.24,7.617566343,3.0,2024.0,2.0,19.0,50.0,0.0,1.1193642718598618,0.1435674433937972,11.41252207373425,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
44.0,89.0,80561.6,1.0,1.0,20165.0,0.0,0.0,21.0,1.0,3.0,49584.22238,47665.79269,7193.215579,1000.0,1152.4,6.924367299,3.0,2024.0,11.0,13.0,318.0,0.0,0.9613096747732036,0.1509093874884639,41.36219428149948,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
33.0,57.0,75953.6,1.0,1.0,20104.0,0.0,0.0,96.0,1.0,8.0,31494.75576,9692.92145,7457.212527,2000.0,1142.62,7.019133346,2.0,2023.0,3.0,18.0,77.0,1.0,0.3077630296250946,0.7693462250227974,8.483066505049798,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
52.0,70.0,82292.8,1.0,1.0,50035.0,0.0,0.0,14.0,1.0,8.0,28494.95994,34879.35173,6669.939824,500.0,1229.16,10.04717681,0.0,2023.0,9.0,12.0,255.0,0.0,1.2240533695587994,0.19122889311796276,28.376575653291678,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
41.0,64.0,80561.6,1.0,0.0,20156.0,2.0,0.0,20.0,1.0,3.0,24455.90722,32964.01489,7713.185245,500.0,1706.79,10.26960072,8.0,2023.0,6.0,22.0,173.0,0.0,1.3478958107529162,0.233988040314224,19.313456775584577,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
58.0,86.0,82292.8,0.0,1.0,20106.0,1.0,0.0,93.0,0.0,4.0,14203.39611,34878.65574,3798.774361,500.0,885.08,8.619270212,2.0,2024.0,8.0,21.0,234.0,0.0,2.455656060696881,0.10891401289423662,39.40734819451349,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
37.0,72.0,72593.6,1.0,1.0,15019.0,2.0,0.0,99.0,1.0,4.0,9367.193013,8871.641743,8015.944434,500.0,1046.58,8.276694232,3.0,2024.0,5.0,20.0,141.0,0.0,0.9470971432624199,0.903546904418771,8.47679273729672,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
63.0,89.0,66300.8,1.0,0.0,80109.0,2.0,1.0,44.0,0.0,8.0,17901.32007,52692.08773,7462.860816,500.0,1382.88,8.167530488,3.0,2024.0,3.0,3.0,63.0,1.0,2.9434749797197495,0.14163152643031554,38.10315264520421,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
